EGID;EDID;EGAID;DEINR;ESID;STRNAME;STRNAMK;STRINDX;STRSP;STROFFIZIEL;DPLZ4;DPLZZ;DPLZNAME;DKODE;DKODN;DOFFADR;DEXPDAT
310001;0;101936456;8;10012708;Marktgasse;Marktgasse;Mar;9901;1;6340;0;Baar;2682459.106;1227741.239;0;17.02.2024
310002;0;100176914;10;10012708;Marktgasse;Marktgasse;Mar;9901;1;6340;0;Baar;;;0;17.02.2024
310003;0;101981305;12;10012708;Marktgasse;Marktgasse;Mar;9901;1;6340;0;Baar;2682511.588;1227773.739;1;17.02.2024
310004;0;100176915;14;10012708;Marktgasse;Marktgasse;Mar;9901;1;6340;0;Baar;2682523.028;1227784.067;1;17.02.2024
310005;0;100176916;16;10012708;Marktgasse;Marktgasse;Mar;9901;1;6340;0;Baar;2682540.091;1227792.603;1;17.02.2024
310006;0;100176917;18;10012708;Marktgasse;Marktgasse;Mar;9901;1;6340;0;Baar;2682554.253;1227799.894;1;17.02.2024
310007;0;101973804;2;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682578.674;1227789.851;1;17.02.2024
310008;0;100175159;4;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682579.48;1227768.376;1;17.02.2024
310009;0;102227674;6;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682582.709;1227751.281;1;17.02.2024
310010;0;100175160;6a;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682576.98;1227752.048;1;17.02.2024
310011;0;101506456;8;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;;;0;17.02.2024
310012;0;100175161;10;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682594.732;1227703.923;1;17.02.2024
310013;0;101981304;12;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682598.72;1227697.786;1;17.02.2024
310014;0;100175162;14;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682597.213;1227667.182;1;17.02.2024
310015;0;100175163;16;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682608.789;1227654.317;1;17.02.2024
310016;0;101981087;18;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682608.901;1227645.345;1;17.02.2024
310017;0;101936039;15a;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682601.728;1227638.141;1;17.02.2024
310018;0;100175164;15;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682595.812;1227622.933;0;17.02.2024
310019;0;100175165;11;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682559.824;1227624.17;1;17.02.2024
310020;0;100175166;9;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682538.473;1227622.602;1;17.02.2024
310021;0;100176120;11b;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682560.652;1227672.418;1;17.02.2024
310022;0;101978862;11a;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682565.919;1227689.431;0;17.02.2024
310023;0;100176372;1;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682445.35;1227614.141;1;17.02.2024
310024;0;100176373;2;10064861;Rathausstrasse;Rathausstr.;Rat;9901;1;6340;0;Baar;2682437.323;1227647.356;1;17.02.2024
310025;0;101663212;4a;10064861;Rathausstrasse;Rathausstr.;Rat;9901;1;6340;0;Baar;;;0;17.02.2024
310026;0;101606888;6;10064861;Rathausstrasse;Rathausstr.;Rat;9901;1;6340;0;Baar;;;0;17.02.2024
310027;0;101515019;6b;10012708;Marktgasse;Marktgasse;Mar;9901;1;6340;0;Baar;;;0;17.02.2024
310028;0;100176374;;10012708;Marktgasse;Marktgasse;Mar;9901;1;6340;0;Baar;;;0;17.02.2024
310029;0;100176375;1;10064861;Rathausstrasse;Rathausstr.;Rat;9901;1;6340;0;Baar;2682408.746;1227656.928;1;17.02.2024
310029;1;101816471;2;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682393.383;1227636.795;1;17.02.2024
310029;2;102843290;3;10064861;Rathausstrasse;Rathausstr.;Rat;9901;1;6340;0;Baar;2682409.652;1227671.297;1;17.02.2024
310030;0;101577427;7;10064861;Rathausstrasse;Rathausstr.;Rat;9901;1;6340;0;Baar;;;0;17.02.2024
310031;0;100176376;9a;10064861;Rathausstrasse;Rathausstr.;Rat;9901;1;6340;0;Baar;;;0;17.02.2024
310032;0;101612160;9;10064861;Rathausstrasse;Rathausstr.;Rat;9901;1;6340;0;Baar;;;0;17.02.2024
310033;0;101937749;6;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682373.716;1227628.853;1;17.02.2024
310034;0;101936707;6a;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682363.752;1227626.749;1;17.02.2024
310035;0;101981487;6b;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682359.938;1227620.644;1;17.02.2024
310036;0;100176377;8;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682345.597;1227615.405;1;17.02.2024
310037;0;100176378;8a;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682349.003;1227630.771;1;17.02.2024
310038;0;101987048;10a;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682327.585;1227633.625;1;17.02.2024
310039;0;101983445;12;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682331.001;1227601.465;1;17.02.2024
310040;0;100176379;12a;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682318.837;1227625.28;1;17.02.2024
310041;0;100176380;1;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;;;0;17.02.2024
310042;0;100176381;3a;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;;;0;17.02.2024
310043;0;101504480;5;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;;;0;17.02.2024
310044;0;101597656;7;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;;;0;17.02.2024
310045;0;100174864;7a;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;;;0;17.02.2024
310046;0;101668951;11;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;;;0;17.02.2024
310047;0;101504928;13;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;;;0;17.02.2024
310048;0;101613717;15;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;;;0;17.02.2024
310049;0;101593821;17;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;;;0;17.02.2024
310050;0;101504823;3;10094785;Poststrasse;Poststr.;Pos;9901;1;6340;0;Baar;;;0;17.02.2024
310051;0;101621886;;10011944;Bahnhofplatz;Bahnhofplatz;Bah;9901;1;6340;0;Baar;;;0;17.02.2024
310052;0;101520454;16;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;;;0;17.02.2024
310053;0;100174865;18;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;2682199.011;1227599.937;0;17.02.2024
310054;0;100174866;20;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;2682193.938;1227583.569;0;17.02.2024
310055;0;102229464;22;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;2682216.285;1227567.248;1;17.02.2024
310056;0;101975249;34;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682219.545;1227544.088;1;17.02.2024
310057;0;100174867;38;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682198.336;1227532.492;1;17.02.2024
310058;0;102099541;40;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682175.292;1227523.488;1;17.02.2024
310059;0;100174868;42;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682159.369;1227529.451;1;17.02.2024
310060;0;100174869;6;10064854;Kirchmattweg;Kirchmattweg;Kir;9901;1;6340;0;Baar;2682052.235;1227537.633;1;17.02.2024
310061;0;100174870;2;10094767;Asylstrasse;Asylstr.;Asy;9901;1;6340;0;Baar;2682117.732;1227541.434;1;17.02.2024
310062;0;101973720;1;10094767;Asylstrasse;Asylstr.;Asy;9901;1;6340;0;Baar;2682096.324;1227515.836;1;17.02.2024
310063;0;100174871;11;10094767;Asylstrasse;Asylstr.;Asy;9901;1;6340;0;Baar;;;0;17.02.2024
310064;0;101983738;9;10094767;Asylstrasse;Asylstr.;Asy;9901;1;6340;0;Baar;2682047.24;1227573.971;1;17.02.2024
310065;0;100174872;10;10094767;Asylstrasse;Asylstr.;Asy;9901;1;6340;0;Baar;2682034.484;1227599.957;1;17.02.2024
310066;0;100174873;10;10064854;Kirchmattweg;Kirchmattweg;Kir;9901;1;6340;0;Baar;2682002.658;1227564.775;1;17.02.2024
310067;0;100174874;8;10064854;Kirchmattweg;Kirchmattweg;Kir;9901;1;6340;0;Baar;2682020.115;1227551.225;1;17.02.2024
310068;0;101987050;5;10064854;Kirchmattweg;Kirchmattweg;Kir;9901;1;6340;0;Baar;2682021.085;1227519.851;0;17.02.2024
310069;0;100174875;7;10064854;Kirchmattweg;Kirchmattweg;Kir;9901;1;6340;0;Baar;2682004.972;1227530.595;0;17.02.2024
310070;0;100174876;9;10064854;Kirchmattweg;Kirchmattweg;Kir;9901;1;6340;0;Baar;2681989.094;1227541.089;0;17.02.2024
310071;0;101937751;13;10064854;Kirchmattweg;Kirchmattweg;Kir;9901;1;6340;0;Baar;2681953.084;1227547.201;1;17.02.2024
310072;0;100174877;7;10094767;Asylstrasse;Asylstr.;Asy;9901;1;6340;0;Baar;2682065.291;1227567.831;1;17.02.2024
310073;0;100174878;15;10094780;Kirchgasse;Kirchgasse;Kir;9901;1;6340;0;Baar;2682063.131;1227480.161;1;17.02.2024
310074;0;100174879;17;10094780;Kirchgasse;Kirchgasse;Kir;9901;1;6340;0;Baar;2682055.512;1227478.985;1;17.02.2024
310075;0;100174880;19;10094780;Kirchgasse;Kirchgasse;Kir;9901;1;6340;0;Baar;2682046.077;1227482.192;1;17.02.2024
310076;0;100174881;21;10094780;Kirchgasse;Kirchgasse;Kir;9901;1;6340;0;Baar;2682027.651;1227482.653;1;17.02.2024
310077;0;101439429;8;10094767;Asylstrasse;Asylstr.;Asy;9901;1;6340;0;Baar;;;0;17.02.2024
310078;0;101514478;;10094767;Asylstrasse;Asylstr.;Asy;9901;1;6340;0;Baar;;;0;17.02.2024
310079;0;100174882;3;10064854;Kirchmattweg;Kirchmattweg;Kir;9901;1;6340;0;Baar;2682067.197;1227518.935;1;17.02.2024
310080;0;101511393;6;10094767;Asylstrasse;Asylstr.;Asy;9901;1;6340;0;Baar;;;0;17.02.2024
310081;0;100174883;19;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;2682217.96;1227617.518;1;17.02.2024
310082;0;100174884;21;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;2682227.405;1227592.096;1;17.02.2024
310083;0;100174885;21a;10011945;Bahnhofstrasse;Bahnhofstr.;Bah;9901;1;6340;0;Baar;2682251.952;1227601.07;1;17.02.2024
310084;0;100174886;22a;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682266.901;1227588.847;1;17.02.2024
310085;0;100174887;22;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682281.451;1227574.906;1;17.02.2024
310086;0;100174888;24;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682252.605;1227563.156;1;17.02.2024
310087;0;100174889;16;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682303.785;1227603.245;1;17.02.2024
310088;0;100174890;4;10094785;Poststrasse;Poststr.;Pos;9901;1;6340;0;Baar;2682279.073;1227643.386;1;17.02.2024
310089;0;101981486;32;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682240.397;1227555.224;1;17.02.2024
310090;0;101981091;1;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682418.109;1227610.465;1;17.02.2024
310091;0;100174891;3;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682412.586;1227611.211;1;17.02.2024
310092;0;100174892;5;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682395.281;1227608.275;1;17.02.2024
310093;0;101981365;7;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682377.127;1227605.429;1;17.02.2024
310095;0;100174893;5a;10011278;Dorfstrasse;Dorfstr.;Dor;9901;1;6340;0;Baar;2682404.946;1227599.727;1;17.02.2024
310096;0;100174894;3;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682479.358;1227551.349;1;17.02.2024
310097;0;100174895;2;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682452.408;1227592.039;1;17.02.2024
310098;0;100174896;6;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682501.892;1227592.756;1;17.02.2024
310099;0;100174897;6a;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682499.303;1227584.715;1;17.02.2024
310100;0;101579506;8;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;;;0;17.02.2024
310101;0;101507413;10;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;;;0;17.02.2024
310102;0;101936696;10a;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682549.88;1227585.141;0;17.02.2024
310103;0;100174898;12;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682567.094;1227595.118;0;17.02.2024
310104;0;100174899;12a;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682569.872;1227579.925;0;17.02.2024
310105;0;100174900;14;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682587.871;1227601.775;1;17.02.2024
310106;0;101983739;16;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682603.506;1227601.086;1;17.02.2024
310107;0;100174901;16a;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682603.74;1227593.906;1;17.02.2024
310108;0;100174902;16b;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;;;0;17.02.2024
310109;0;101973367;22;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682623.58;1227587.423;1;17.02.2024
310110;0;101938386;20;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682657.142;1227597.567;1;17.02.2024
310111;0;100174903;22;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682662.19;1227589.136;1;17.02.2024
310112;0;100174904;24;10094781;Leihgasse;Leihgasse;Lei;9901;1;6340;0;Baar;2682670.286;1227574.522;1;17.02.2024
310113;0;100174905;2;10113280;Gubelstrasse;Gubelstr.;Gub;9901;1;6340;0;Baar;2682721.14;1227599.716;1;17.02.2024
310114;0;100174906;21;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682673.994;1227541.475;1;17.02.2024
310115;0;100174907;23;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682691.905;1227545.039;1;17.02.2024
310116;0;100174908;25;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682710.019;1227548.756;1;17.02.2024
310117;0;100174909;4;10113280;Gubelstrasse;Gubelstr.;Gub;9901;1;6340;0;Baar;2682725.924;1227582.319;1;17.02.2024
310118;0;100174910;6;10113280;Gubelstrasse;Gubelstr.;Gub;9901;1;6340;0;Baar;2682730.945;1227564.917;1;17.02.2024
310119;0;100174911;18;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682695.27;1227502.978;1;17.02.2024
310120;0;100174912;20;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682703.269;1227485.631;1;17.02.2024
310121;0;100174913;22;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682711.808;1227470.487;1;17.02.2024
310122;0;100174914;28;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682718.38;1227518.933;1;17.02.2024
310123;0;100174915;30;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682733.817;1227524.446;1;17.02.2024
310124;0;101987053;24;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682731.137;1227476.986;1;17.02.2024
310125;0;100174916;26;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682746.754;1227484.205;1;17.02.2024
310126;0;100174917;32;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682774.215;1227510.194;1;17.02.2024
310127;0;100174918;36;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682813.386;1227534.153;1;17.02.2024
310128;0;101981602;38;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682819.811;1227519.716;1;17.02.2024
310129;0;100175877;37;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682760.664;1227402.666;1;17.02.2024
310130;0;100175878;33;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682799.722;1227412.083;1;17.02.2024
310131;0;100176121;35;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;;;0;17.02.2024
310132;0;100176122;31;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;;;0;17.02.2024
310133;0;101938388;29;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682814.22;1227468.575;1;17.02.2024
310134;0;100176123;1;10064851;Grundhof;Grundhof;Gru;9901;1;6340;0;Baar;;;0;17.02.2024
310135;0;100176124;2;10064851;Grundhof;Grundhof;Gru;9901;1;6340;0;Baar;2682643.956;1227490.784;1;17.02.2024
310136;0;101511060;4;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;;;0;17.02.2024
310137;0;100176125;7;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682585.287;1227418.658;1;17.02.2024
310138;0;100176126;6;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682569;1227447;0;17.02.2024
310139;0;101973134;9;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682561.701;1227414.4;1;17.02.2024
310140;0;100176127;10;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682533;1227422;0;17.02.2024
310141;0;100176128;11;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682566.662;1227396.314;1;17.02.2024
310142;0;100176129;12;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682540.448;1227394.073;1;17.02.2024
310143;0;100176130;8;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682550;1227439;0;17.02.2024
310144;0;100176131;14;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682546.158;1227373.838;1;17.02.2024
310145;0;100176132;13;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682570.379;1227376.001;0;17.02.2024
310146;0;100176133;15;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682573.988;1227354.8;0;17.02.2024
310147;0;100176134;6;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682530.479;1227465.363;1;17.02.2024
310148;0;100176135;16;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682552.309;1227352.126;1;17.02.2024
310149;0;101936710;17;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682582.536;1227335.035;1;17.02.2024
310150;0;100176136;19;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682590.245;1227316.721;1;17.02.2024
310151;0;100176137;21;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682594.214;1227302.299;1;17.02.2024
310152;0;101981093;23;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682593.158;1227289.461;1;17.02.2024
310153;0;100176138;24;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682609.065;1227567.275;1;17.02.2024
310154;0;101981485;26;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682627.786;1227549.88;0;17.02.2024
310155;0;100176139;28;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682635.765;1227530.372;1;17.02.2024
310156;0;100176140;40;10182981;Rigistrasse;Rigistr.;Rig;9901;1;6340;0;Baar;2682702.116;1227386.431;1;17.02.2024
310157;0;101983740;1;10144857;Grundmatt;Grundmatt;Gru;9901;1;6340;0;Baar;2682719.488;1227352.569;1;17.02.2024
310158;0;100176141;12;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682620.099;1227500.101;1;17.02.2024
310159;0;100176142;10;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682590.691;1227487.68;1;17.02.2024
310160;0;100176143;8;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682551.031;1227473.85;0;17.02.2024
310161;0;100176144;4;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682514.719;1227458.462;1;17.02.2024
310162;0;100176145;2;10064865;Sonnenweg;Sonnenweg;Son;9901;1;6340;0;Baar;2682489.579;1227448.692;1;17.02.2024
310163;0;100176146;5;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682475.721;1227522.198;1;17.02.2024
310164;0;101979678;7;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682490.449;1227484.987;1;17.02.2024
310165;0;101515265;13;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;;;0;17.02.2024
310166;0;100176147;15;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682498.51;1227354.336;1;17.02.2024
310167;0;100176148;17;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682506.871;1227335.991;1;17.02.2024
310168;0;100176149;45;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682662.432;1227085.012;1;17.02.2024
310169;0;100176150;43;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682653.598;1227100.111;1;17.02.2024
310170;0;101987054;41;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682642.342;1227120.445;1;17.02.2024
310171;0;101507886;39;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;;;0;17.02.2024
310172;0;102229321;37;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682614.663;1227154.346;1;17.02.2024
310173;0;100176151;35;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;;;0;17.02.2024
310174;0;100176152;33;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682590.917;1227184.291;1;17.02.2024
310175;0;101981303;31;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682577.441;1227206.16;1;17.02.2024
310176;0;101981484;29;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682563.234;1227222.186;1;17.02.2024
310177;0;100174971;20;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682565.817;1227311.758;1;17.02.2024
310178;0;101439385;22;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;;;0;17.02.2024
310179;0;100174972;24;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682576.888;1227274.749;1;17.02.2024
310180;0;100174973;26;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682582.003;1227250.331;1;17.02.2024
310181;0;100174974;25;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682612.761;1227254.224;1;17.02.2024
310182;0;100174975;27;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682618.407;1227233.621;1;17.02.2024
310183;0;101987056;28;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682599.479;1227223.164;1;17.02.2024
310184;0;100174976;29;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682649.569;1227205.361;1;17.02.2024
310185;0;101983741;31;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682628.862;1227185.998;1;17.02.2024
310186;0;101980821;19;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682521.764;1227313.806;1;17.02.2024
310187;0;101603048;27;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;;;0;17.02.2024
310188;0;101975787;25;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682536.662;1227262.425;1;17.02.2024
310189;0;100174977;23;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682534.838;1227279.978;0;17.02.2024
310190;0;100174978;21;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682530.236;1227294.611;1;17.02.2024
310191;0;102228303;18;10011963;Grundstrasse;Grundstr.;Gru;9901;1;6340;0;Baar;2682560.168;1227325.951;1;17.02.2024
310192;0;101511361;4;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;;;0;17.02.2024
310193;0;100174979;6;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682420.216;1227520.295;1;17.02.2024
310194;0;101979015;10;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682446.725;1227456.57;0;17.02.2024
310195;0;100174980;10a;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682395.917;1227433.889;1;17.02.2024
310196;0;100174981;10b;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682399.942;1227402.137;1;17.02.2024
310197;0;100174982;12;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682447.602;1227432.873;1;17.02.2024
310198;0;100174983;14;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682425.889;1227406.553;1;17.02.2024
310199;0;100174984;16;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682447.411;1227389.255;1;17.02.2024
310200;0;100174985;18;10012701;Inwilerstrasse;Inwilerstr.;Inw;9901;1;6340;0;Baar;2682452.65;1227363.848;1;17.02.2024
310201;0;100174986;1;10012709;Mattweg;Mattweg;Mat;9901;1;6340;0;Baar;2682441.225;1227357.29;0;17.02.2024
